,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
161,2008-06-30,99.1027,-0.0835,,3385.6353,,4029.6895,644.0541507655771,0.15982723998104
162,2008-07-31,98.2122,-0.009,,3355.2128,,4029.6895,674.4767476259663,0.1673768531361948
163,2008-08-29,99.73,0.0155,,3407.0632,,4029.6895,622.6263439834056,0.15450975664090388
164,2008-09-30,90.3181,-0.0944,,3085.5275,,4029.6895,944.1619896981938,0.234301424389694
165,2008-10-31,75.3988,-0.1652,,2575.8396,,4029.6895,1453.8498574002742,0.36078458585959894
166,2008-11-28,70.1505,-0.0696,,2396.5442,,4029.6895,1633.1452646869934,0.40527818947017963
167,2008-12-31,70.8405,0.0098,,2420.115,,4029.6895,1609.5745044679934,0.399428914924585
168,2009-01-30,65.0235,-0.0821,,2221.3889,,4029.6895,1808.3005997029973,0.4487444007045697
169,2009-02-27,58.0368,-0.1074,,1982.7029,,4029.6895,2046.9866455548463,0.507976271014143
170,2009-03-31,62.8819,0.0835,,2148.2274,,4029.6895,1881.4621207150499,0.46690002311965967
171,2009-04-30,69.129,0.0993,,2361.6454,,4029.6895,1668.0441241751323,0.41393862335426396
172,2009-05-29,73.1698,0.0585,,2499.6917,,4029.6895,1529.997790289312,0.3796813105052665
173,2009-06-30,73.1205,-0.0007,,2498.0082,,4029.6895,1531.6813265203027,0.38009909362006744
174,2009-07-31,78.5758,0.0746,,2684.374,,4029.6895,1345.3154850066362,0.3338509046433072
175,2009-08-31,81.4783,0.0369,,2783.5337,,4029.6895,1246.1557772669084,0.3092436221865006
176,2009-09-30,84.3673,0.0355,,2882.2301,,4029.6895,1147.4593877000925,0.28475131587684177
177,2009-10-30,82.7453,-0.0192,,2826.8184,,4029.6895,1202.8711419185952,0.29850219028503194
178,2009-11-30,87.843,0.0616,,3000.9696,,4029.6895,1028.719914374728,0.25528515643071953
179,2009-12-31,89.5183,0.0191,,3058.2041,,4029.6895,971.4853912545186,0.24108194719581214
180,2010-01-29,86.265,-0.0363,,2947.0616,,4029.6895,1082.6279490453758,0.268662870686532
181,2010-02-26,88.956,0.0312,,3038.9943,,4029.6895,990.6952160580036,0.24584902039177053
182,2010-03-31,94.3739,0.0609,,3224.085,,4029.6895,805.604532455031,0.19991727215087687
183,2010-04-30,95.8339,0.0155,,3273.9618,,4029.6895,755.7276624443816,0.18753992396793392
184,2010-05-31,88.2195,-0.0795,,3013.8305,,4029.6895,1015.8589623893881,0.2520936073087984
185,2010-06-30,83.6547,-0.0517,,2857.8844,,4029.6895,1171.8050683205506,0.29079289317962354
186,2010-07-30,89.3683,0.0683,,3053.08,,4029.6895,976.6095127745848,0.2423535393420721
187,2010-08-31,85.3485,-0.045,,2915.7509,,4029.6895,1113.938584475869,0.2764328577861567
188,2010-09-30,92.9918,0.0896,,3176.8674,,4029.6895,852.8220705049371,0.21163468562650722
189,2010-10-29,96.5443,0.0382,,3298.2303,,4029.6895,731.4592211892568,0.1815175142375751
190,2010-11-30,96.5443,0.0,,3298.2303,,4029.6895,731.4592211892568,0.1815175142375751
191,2010-12-31,102.9977,0.0668,,3518.698,,4029.6895,510.991506471938,0.1268066699610325
192,2011-01-31,105.3976,0.0233,,3600.6844,,4029.6895,429.005143679512,0.10646109177382328
193,2011-02-28,109.0588,0.0347,,3725.7625,,4029.6895,303.9269724579881,0.0754219332427444
194,2011-03-31,109.0705,0.0001,,3726.1609,,4029.6895,303.5285577315126,0.07532306341009962
195,2011-04-29,112.2293,0.029,,3834.076,,4029.6895,195.61349612508593,0.048543069168253766
196,2011-05-31,110.9707,-0.0112,,3791.0786,,4029.6895,238.61090348637845,0.05921322312460512
197,2011-06-30,109.0967,-0.0169,,3727.0581,,4029.6895,302.631386507911,0.07510042312389353
198,2011-07-29,106.9143,-0.02,,3652.5,,4029.6895,377.1894938019518,0.09360261970604729
199,2011-08-31,101.0366,-0.055,,3451.7015,,4029.6895,577.9880327620222,0.14343239913696135
200,2011-09-30,94.0197,-0.0694,,3211.9833,,4029.6895,817.706210798704,0.20292040138544273
201,2011-10-31,104.2817,0.1091,,3562.5621,,4029.6895,467.1273895712334,0.11592143503146667
202,2011-11-30,103.8579,-0.0041,,3548.0848,,4029.6895,481.6047336080519,0.11951410489767311
203,2011-12-30,104.9422,0.0104,,3585.1268,,4029.6895,444.5627382191401,0.11032183452822857
204,2012-01-31,109.8088,0.0464,,3751.3852,,4029.6895,278.3042700615738,0.06906345267087546
205,2012-02-29,114.5751,0.0434,,3914.2157,,4029.6895,115.47381156008578,0.028655759100071055
206,2012-03-30,118.2595,0.0322,,4040.0842,,4040.0842,-4.7956095386325615e-05,-1.1870073249049021e-08
207,2012-04-30,117.47,-0.0067,,4013.114,,4040.0842,26.970189904595372,0.00667565044921474
208,2012-05-31,110.4153,-0.0601,,3772.1034,,4040.0842,267.9808261020062,0.0663305052162047
209,2012-06-29,114.8903,0.0405,,3924.9821,,4040.0842,115.10213934997955,0.028490034774517708
210,2012-07-31,116.2494,0.0118,,3971.4128,,4040.0842,68.67141842585488,0.016997521592707125
211,2012-08-31,119.1617,0.0251,,4070.9072,,4070.9072,1.6448028418381e-05,4.04038402505982e-09
212,2012-09-28,122.1832,0.0254,,4174.1304,,4174.1304,1.1355392416589893e-05,2.720421100545851e-09
213,2012-10-31,119.9597,-0.0182,,4098.1686,,4174.1304,75.96182019167372,0.01819823841432307
214,2012-11-30,120.6386,0.0057,,4121.363,,4174.1304,52.76737474548008,0.01264152522534516
215,2012-12-31,121.7242,0.009,,4158.4484,,4174.1304,15.68204688917649,0.003756961423432409
216,2013-01-31,127.9553,0.0512,,4371.3203,,4371.3203,3.835564621113008e-05,8.774384757650927e-09
217,2013-02-28,129.5878,0.0128,,4427.0933,,4427.0933,1.4310826372820884e-05,3.2325558561914388e-09
218,2013-03-29,134.509,0.038,,4595.2142,,4595.2142,1.0324577488063369e-05,2.246810929523888e-09
219,2013-04-30,137.0932,0.0192,,4683.4991,,4683.4991,1.3977921298646834e-05,2.9845038933917664e-09
220,2013-05-31,140.3299,0.0236,,4794.0752,,4794.0752,1.45658932524384e-05,3.0383113832754226e-09
221,2013-06-28,138.4551,-0.0134,,4730.0244,,4794.0752,64.05081044444341,0.013360410042054287
222,2013-07-31,145.61,0.0517,,4974.4571,,4974.4571,-4.226434884913033e-05,-8.496273663538143e-09
223,2013-08-30,141.2428,-0.03,,4825.2618,,4974.4571,149.1953411743889,0.02999228622845876
224,2013-09-30,145.7176,0.0317,,4978.1324,,4978.1324,-3.2756028303992935e-05,-6.579983349577631e-09
225,2013-10-31,152.4653,0.0463,,5208.6537,,5208.6537,4.632255786418682e-05,8.893384074312105e-09
226,2013-11-29,156.984,0.0296,,5363.0258,,5363.0258,-3.375294363650028e-05,-6.29363812430294e-09
227,2013-12-31,161.0492,0.0259,,5501.906,,5501.906,4.925534722133307e-05,8.952415257791221e-09
228,2014-01-31,155.3725,-0.0352,,5307.9734,,5501.906,193.9326267603101,0.03524826246764486
229,2014-02-28,162.4444,0.0455,,5549.5699,,5549.5699,2.8515241865534335e-05,5.138279610737822e-09
230,2014-03-31,163.7945,0.0083,,5595.6906,,5595.6906,1.1031023859686684e-05,1.971342707848551e-09
231,2014-04-30,164.9331,0.007,,5634.589,,5634.589,-3.164886129525257e-05,-5.616889057081639e-09
232,2014-05-30,168.7606,0.0232,,5765.3476,,5765.3476,-4.2813005165953655e-05,-7.42591915289785e-09
233,2014-06-30,172.2427,0.0206,,5884.3062,,5884.3062,-1.0653770004864782e-05,-1.8105397038761821e-09
234,2014-07-31,169.9282,-0.0134,,5805.2355,,5884.3062,79.07072986307867,0.0134375620804843
235,2014-08-29,176.6341,0.0395,,6034.3302,,6034.3302,3.6805320632993244e-05,6.099321617002868e-09
236,2014-09-30,174.1981,-0.0138,,5951.1095,,6034.3302,83.22066302376425,0.013791201386984796
237,2014-10-31,178.3006,0.0236,,6091.2636,,6091.2636,2.6624848942446988e-05,4.370989451588828e-09
238,2014-11-28,183.1989,0.0275,,6258.6027,,6258.6027,4.006099698017351e-05,6.400949045730848e-09
239,2014-12-31,182.7299,-0.0026,,6242.5796,,6258.6027,16.02307594872582,0.002560168254285548
